input1,input2,true_output,fortran_pred,tensorflow_pred
  1.083865,  1.083865,584.778318,579.482914,579.482910
  0.142910,  0.142910,394.404137,395.760854,395.760773
  1.456918,  1.456918,475.526957,470.906832,470.906799
  0.873762,  0.873762,624.957233,627.185350,627.185425
  0.135283,  0.135283,396.931259,399.002631,399.002686
  0.342612,  0.342612,382.133055,383.715388,383.715393
 -0.245398, -0.245398,526.313355,528.540826,528.540771
 -0.123358, -0.123358,503.979437,506.943317,506.943329
 -1.373573, -1.373573,424.568371,425.575429,425.575439
 -1.067780, -1.067780,314.625690,318.106024,318.105988
  0.334984,  0.334984,380.733600,382.520065,382.520081
 -1.488679, -1.488679,416.654126,423.441585,423.441589
  0.515270,  0.515270,457.027958,458.439716,458.439667
 -1.533750, -1.533750,403.144759,406.006429,406.006439
  0.532606,  0.532606,467.294625,468.843419,468.843323
 -0.841729, -0.841729,276.878917,278.012780,278.012787
 -0.141387, -0.141387,509.508195,512.474366,512.474365
  0.967372,  0.967372,620.391175,617.787956,617.787964
 -0.015187, -0.015187,460.368839,462.954052,462.954041
  0.169260,  0.169260,386.719545,385.652453,385.652435
  0.519431,  0.519431,459.211856,460.936605,460.936615
  0.555488,  0.555488,481.477809,482.576306,482.576233
  1.499216,  1.499216,482.404583,488.348915,488.348938
 -0.762680, -0.762680,296.787795,297.239565,297.239563
 -0.250252, -0.250252,526.150167,528.524673,528.524658
 -1.587142, -1.587142,380.436149,379.573968,379.573975
  0.601253,  0.601253,510.276580,510.042082,510.042084
 -1.455395, -1.455395,422.942119,424.058600,424.058563
 -0.945740, -0.945740,278.352411,280.489176,280.489197
  0.000068,  0.000068,453.364898,456.470498,456.470520
 -0.976943, -0.976943,284.612971,286.056682,286.056702
  0.377282,  0.377282,391.355565,390.061190,390.061218
  0.984708,  0.984708,617.006389,615.062247,615.062317
  0.700410,  0.700410,568.686466,569.551262,569.551270
  1.007590,  1.007590,611.474428,608.006647,608.006653
  1.601841,  1.601841,519.600353,530.667409,530.667419
  0.373122,  0.373122,390.131752,388.496683,388.496674
  1.088025,  1.088025,583.152936,577.927074,577.927124
  0.447316,  0.447316,420.167007,421.705297,421.705231
  0.082584,  0.082584,416.741926,421.400364,421.400360
  0.418887,  0.418887,407.099632,408.831258,408.831238
 -0.662830, -0.662830,343.740485,347.056676,347.056671
  0.969453,  0.969453,620.133048,617.460871,617.460876
  1.245429,  1.245429,513.640605,519.064462,519.064514
  0.639390,  0.639390,533.722139,532.930228,532.930237
  1.033246,  1.033246,603.478536,598.412300,598.412231
 -0.466595, -0.466595,462.378126,464.323211,464.323212
 -0.039456, -0.039456,471.226472,473.339301,473.339264
 -0.328607, -0.328607,517.768410,519.514145,519.514160
 -1.379120, -1.379120,425.152349,425.472593,425.472595
 -0.726623, -0.726623,311.415268,312.317300,312.317322
  0.435528,  0.435528,414.496734,416.339285,416.339264
 -0.526228, -0.526228,427.701514,428.783191,428.783203
  1.663554,  1.663554,552.542158,556.115693,556.115662
 -1.252920, -1.252920,394.911444,394.994963,394.995026
  1.168461,  1.168461,547.464404,547.847501,547.847473
  0.922301,  0.922301,625.810655,624.874801,624.874756
 -0.288389, -0.288389,524.493105,527.189949,527.189880
  1.471480,  1.471480,477.225639,476.911484,476.911530
 -0.792497, -0.792497,287.318570,289.987357,289.987366
  0.701104,  0.701104,569.203901,569.967411,569.967407
 -1.697394, -1.697394,317.802067,321.997817,321.997803
 -0.330687, -0.330687,517.266232,519.117120,519.117126
  0.273271,  0.273271,373.973597,373.068716,373.068726
  0.633150,  0.633150,530.022029,529.184895,529.184875
  0.580451,  0.580451,497.153417,497.557639,497.557709
 -0.275215, -0.275215,525.547721,528.441598,528.441589
 -0.782096, -0.782096,290.355847,292.517197,292.517181
 -0.060258, -0.060258,479.973245,482.468940,482.468964
 -0.807059, -0.807059,283.463897,286.445581,286.445587
 -0.194779, -0.194779,521.620356,524.889930,524.889893
  0.983321,  0.983321,617.208175,615.280304,615.280273
  0.084664,  0.084664,415.868713,420.516243,420.516266
  0.750336,  0.750336,592.571662,595.489793,595.489746
  0.900112,  0.900112,626.116901,628.363709,628.363708
  1.153206,  1.153206,554.204138,553.552248,553.552246
 -0.563672, -0.563672,404.299172,406.094675,406.094696
  0.551328,  0.551328,478.820000,480.079418,480.079468
  0.432755,  0.432755,412.965655,415.087948,415.087982
  0.043060,  0.043060,433.832475,438.198663,438.198639
  0.970146,  0.970146,620.044025,617.351843,617.351868
 -1.255000, -1.255000,395.804975,395.858884,395.858856
 -0.409042, -0.409042,490.932106,492.580760,492.580780
  0.434835,  0.434835,414.032273,416.026451,416.026489
  0.046527,  0.046527,432.209264,436.725128,436.725128
  1.117148,  1.117148,570.552047,567.036194,567.036255
 -0.316126, -0.316126,520.443672,521.896291,521.896240
  1.519325,  1.519325,487.409077,496.641052,496.641052
 -1.126720, -1.126720,340.448675,342.583776,342.583771
  0.464652,  0.464652,428.493040,430.188733,430.188751
  1.040874,  1.040874,600.948538,595.559927,595.559875
 -0.985264, -0.985264,286.719074,288.655842,288.655853
 -1.515721, -1.515721,409.415361,414.931676,414.931702
